found_in_function,team,defect_category,ticket_count
26-11,IuK_TSP_Stability_Performance,Showstopper_Candidate,7
27-07,,,7
,DTSV_China,Preventing Maturity Grade ConDrive | Showstopper_Candidate,6
,IUK,No_Showstopper_Candidate,6
,IUK,Preventing Maturity Grade ConDrive | Showstopper_Confirmed,6
23-11,DIPS,Showstopper_Candidate,6
24-11,,,6
24-11,DIPS,Homologation L-labelled | Showstopper_Candidate | Not Homologation relevant,6
24-11,DIPS,No_Showstopper_Candidate,6
25-07,DTSV_China,Showstopper_Candidate | Not Homologation relevant,6
25-07,IUK,Obstructing Maturity Grade ConDrive | No_Showstopper_Confirmed,6
25-11,DTSV_China,No_Showstopper_Candidate,6
25-11,DTSV_China,No_Showstopper_Confirmed,6
25-11,IUK,Showstopper_Candidate,6
26-03,DIPS,Preventing Maturity Grade ConDrive | Homologation L-labelled,6
26-03,DTSV_China,Not Homologation relevant,6
26-07,DTSV_China,Preventing Maturity Grade Customer Function | Showstopper_Confirmed,6
26-07,IUK,Preventing Maturity Grade ConDrive | Showstopper_Candidate,6
26-07,IuK_TSP_Entertainment,,6
26-07,IuK_TSP_HMI,Showstopper_Candidate,6
26-07,IuK_TSP_Navi,Top_Issue_Confirmed,6
26-11,IuK_TSP_Navi,Showstopper_Candidate,6
27-07,DTSV_China,Homologation L-labelled | Showstopper_Candidate,6
27-07,DTSV_China,Preventing Maturity Grade ConDrive | Showstopper_Candidate,6
27-07,IuK_TSP_Navi,,6
No I-Step Relevance,IUK,,6
,IuK_TSP_Audio,,5
24-03,DIPS,Homologation L-labelled | Showstopper_Candidate,5
24-03,DIPS,Homologation L-labelled | Showstopper_Confirmed,5
24-03,IUK,Homologation L-labelled | Showstopper_Candidate | Not Homologation relevant,5
24-07,,Showstopper_Confirmed,5
24-07,IUK,Showstopper_Candidate | No_Showstopper_Confirmed,5
25-03,IUK,Homologation L-labelled,5
25-07,DIPS,No_Showstopper_Confirmed,5
25-07,DIPS,Preventing Maturity Grade ConDrive | Showstopper_Candidate,5
25-07,DTSV_China,Obstructing Maturity Grade ConDrive | Showstopper_Candidate,5
25-07,IUK,Preventing Maturity Grade ConDrive | Preventing Maturity Grade Customer Function | Showstopper_Confirmed,5
25-07,IuK_TSP_HMI,No_Showstopper_Confirmed,5
25-11,DIPS,Preventing Maturity Grade Customer Function | Top_Issue_Confirmed,5
25-11,DTSV_China,Not Homologation relevant,5
25-11,DTSV_China,Showstopper_Candidate | Not Homologation relevant,5
26-03,DIPS,Preventing Maturity Grade ConDrive | Showstopper_Candidate,5
26-03,DTSV_China,Homologation L-labelled | Top_Issue_Confirmed,5
26-03,IUK,Homologation L-labelled | Showstopper_Confirmed,5
26-07,DIPS,Homologation L-labelled | Showstopper_Confirmed | Not Homologation relevant,5
26-07,DIPS_TSP_CD_Updates,,5
26-07,IUK,Preventing Maturity Grade Customer Function | Homologation L-labelled | Top_Issue_Confirmed,5
26-11,DIPS,Homologation L-labelled,5
26-11,DIPS,Homologation L-labelled | Showstopper_Candidate,5
26-11,DIPS,Top_Issue_Confirmed,5
26-11,DTSV_China,Homologation L-labelled | Not Homologation relevant,5
26-11,DTSV_China,No_Showstopper_Candidate,5
26-11,DTSV_China,Top_Issue_Confirmed,5
No I-Step Relevance,DTSV_China,Homologation L-labelled | Showstopper_Candidate,5
,DIPS,Not Homologation relevant,4
,DIPS,Preventing Maturity Grade ConDrive | Homologation L-labelled | Showstopper_Confirmed,4
,DTSV_China,No_Showstopper_Candidate,4
,IUK,Preventing Maturity Grade ConDrive | Homologation L-labelled,4
23-11,IUK,,4
24-03,DIPS,Homologation L-labelled,4
24-07,[AT]CoC_EI_IuK_China,Showstopper_Confirmed,4
24-11,DIPS,Homologation L-labelled | Showstopper_Confirmed,4
25-03,DIPS,Homologation L-labelled | Not Homologation relevant,4
25-03,DIPS,Homologation L-labelled | Showstopper_Candidate | Not Homologation relevant,4
25-03,DIPS,No_Showstopper_Confirmed,4
25-03,DTSV_China,Homologation L-labelled | Showstopper_Candidate,4
25-03,IUK,Homologation L-labelled | Showstopper_Confirmed | Not Homologation relevant,4
25-07,DIPS,Escalation ConDrive | Preventing Maturity Grade ConDrive | Preventing Maturity Grade Customer Function | Showstopper_Confirmed,4
25-07,DIPS,Homologation L-labelled | Showstopper_Confirmed | Not Homologation relevant,4
25-07,DIPS,Preventing Maturity Grade Customer Function | Homologation L-labelled | Showstopper_Confirmed,4
25-07,IUK,Escalation ConDrive | Preventing Maturity Grade ConDrive | Preventing Maturity Grade Customer Function | Showstopper_Confirmed,4
25-07,IUK,Homologation L-labelled | Showstopper_Confirmed | Not Homologation relevant,4
25-07,IUK,Preventing Maturity Grade Customer Function | Homologation L-labelled | Showstopper_Confirmed,4
25-07,[AT]W72-FIT,Showstopper_Confirmed,4
25-11,DIPS,Homologation L-labelled | Showstopper_Confirmed,4
25-11,IUK,Preventing Maturity Grade Customer Function | Showstopper_Confirmed,4
25-11,IUK,Preventing Maturity Grade Customer Function | Top_Issue_Confirmed,4
25-11,IUK,Showstopper_Confirmed,4
26-03,DIPS,Homologation L-labelled | Showstopper_Confirmed,4
26-03,IUK,Homologation L-labelled,4
26-03,IUK,Homologation L-labelled | Showstopper_Candidate,4
26-03,IUK,Obstructing Maturity Grade ConDrive | No_Showstopper_Confirmed,4
26-07,,Homologation L-labelled,4
26-07,DIPS,Preventing Maturity Grade Customer Function | Homologation L-labelled | Showstopper_Confirmed,4
26-07,DTSV_China,Preventing Maturity Grade ConDrive | Homologation L-labelled,4
26-07,DTSV_China,Showstopper_Confirmed | Not Homologation relevant,4
26-07,IUK,Preventing Maturity Grade ConDrive | Homologation L-labelled | Showstopper_Confirmed,4
26-07,IUK,Preventing Maturity Grade ConDrive | Preventing Maturity Grade Customer Function | Homologation L-labelled | Showstopper_Confirmed,4
26-07,IUK,Preventing Maturity Grade ConDrive | Showstopper_Confirmed,4
26-07,IUK,Preventing Maturity Grade Customer Function | Showstopper_Confirmed,4
26-07,IUK,Preventing Maturity Grade Customer Function | Top_Issue_Confirmed,4
26-07,IuK_TSP_Audio,Showstopper_Candidate,4
26-07,IuK_TSP_Connectivity,Homologation L-labelled,4
26-11,,Homologation L-labelled | Top_Issue_Confirmed,4
26-11,DTSV_China,Homologation L-labelled | Top_Issue_Confirmed,4
27-07,DIPS,,4
No I-Step Relevance,DTSV_China,Homologation L-labelled,4
,,Homologation L-labelled,3
,DIPS,Homologation L-labelled | Showstopper_Confirmed,3
,DIPS,Showstopper_Candidate | Not Homologation relevant,3
,DIPS_TSP_CD_Updates,Showstopper_Candidate,3
,IUK,Homologation L-labelled | Showstopper_Candidate,3
,IUK,Homologation L-labelled | Showstopper_Confirmed,3
,IUK,Preventing Maturity Grade ConDrive | Showstopper_Candidate,3
,IuK_TSP_Audio,Homologation L-labelled,3
24-03,IUK,Homologation L-labelled | Showstopper_Candidate,3
24-03,Spotlight_FIT,Showstopper_Confirmed,3
24-07,,Showstopper_Candidate,3
24-07,DIPS,Homologation L-labelled | No_Showstopper_Candidate,3
24-07,DIPS,Homologation L-labelled | No_Showstopper_Confirmed,3
24-07,DIPS,Obstructing Maturity Grade ExtInt | Homologation L-labelled,3
24-07,DIPS,Preventing Maturity Grade ConDrive | Showstopper_Confirmed,3
24-07,IUK,Preventing Maturity Grade ConDrive | Homologation L-labelled | Showstopper_Confirmed | Not Homologation relevant,3
24-07,[AT]FIT_Basis_SP21_LU,Showstopper_Confirmed,3
24-11,DIPS,Homologation L-labelled | No_Showstopper_Candidate,3
24-11,DIPS,Homologation L-labelled | No_Showstopper_Confirmed,3
24-11,DIPS,Showstopper_Candidate | No_Showstopper_Confirmed,3
24-11,IUK,No_Showstopper_Candidate,3
25-03,,No_Showstopper_Confirmed,3
25-03,DIPS,Homologation L-labelled,3
25-03,DIPS,Homologation L-labelled | Showstopper_Confirmed,3
25-03,DTSV_China,Obstructing Maturity Grade ConDrive,3
25-07,DIPS,Escalation ConDrive | Showstopper_Confirmed,3
25-07,DIPS,Homologation L-labelled | Showstopper_Confirmed | Homologation relevant,3
25-07,DIPS,No_Showstopper_Candidate,3
25-07,DIPS,Obstructing Maturity Grade ConDrive | No_Showstopper_Confirmed,3
25-07,DIPS,Obstructing Maturity Grade ExtInt | Homologation L-labelled | Showstopper_Candidate,3
25-07,DIPS,Preventing Maturity Grade ConDrive | Homologation L-labelled | Showstopper_Confirmed,3
25-07,DIPS,Preventing Maturity Grade ConDrive | Homologation L-labelled | Showstopper_Confirmed | Not Homologation relevant,3
25-07,DIPS,Preventing Maturity Grade ConDrive | Preventing Maturity Grade Customer Function | Homologation L-labelled | Showstopper_Confirmed,3
25-07,DIPS,Preventing Maturity Grade ConDrive | Preventing Maturity Grade Customer Function | Showstopper_Confirmed,3
25-07,DIPS,Showstopper_Candidate | Not Homologation relevant,3
25-07,DTSV_China,Homologation L-labelled | Showstopper_Candidate | Not Homologation relevant,3
25-07,DTSV_China,Homologation L-labelled | Top_Issue_Confirmed,3
25-07,DTSV_China,Preventing Maturity Grade ConDrive | Preventing Maturity Grade Customer Function | Showstopper_Confirmed,3
25-07,IUK,Homologation L-labelled | Not Homologation relevant,3
25-07,IUK,Obstructing Maturity Grade System Function | Homologation L-labelled | Showstopper_Candidate,3
25-07,IUK,Preventing Maturity Grade ConDrive | Homologation L-labelled,3
25-07,IUK,Preventing Maturity Grade ConDrive | Homologation L-labelled | Showstopper_Confirmed | Not Homologation relevant,3
25-11,DIPS,Homologation L-labelled | Showstopper_Candidate,3
25-11,DIPS,Preventing Maturity Grade Customer Function | Showstopper_Confirmed,3
25-11,IUK,Obstructing Maturity Grade ConDrive | Showstopper_Candidate,3
25-11,IUK,Preventing Maturity Grade Customer Function | Homologation L-labelled | Top_Issue_Confirmed,3
26-03,,Homologation L-labelled,3
26-03,,Showstopper_Candidate,3
26-03,DIPS,Homologation L-labelled | Showstopper_Confirmed | Not Homologation relevant,3
26-03,DIPS,Homologation L-labelled | Top_Issue_Confirmed,3
26-03,DIPS,Preventing Maturity Grade ConDrive | Showstopper_Confirmed,3
